"gene","marv.count","marv.lof.count","marv.ms.count","MSZ","pLI","pRec","pNull","scale.msz","lof.ms.aggregate","brain.expressed"
"LMTK2",1,0,1,0.641003134701058,0.994402282503334,0.00559771631140626,1.18525954499385e-09,0.0461965660723219,0.149041076135485,TRUE
"PDZRN4",1,0,1,0.640978128020992,0.0708527732027404,0.929124681135585,2.25456616750135e-05,0.0461947638615598,0.149035261776232,FALSE
"TATDN2",3,0,3,0.212275262249509,0.000742651150073241,0.981341743550022,0.0179156052999048,0.0152985026861097,0.148069791596404,FALSE
"PDZD2",1,0,1,0.636125538043593,0.999645170986495,0.000354829013504673,9.74943212086724e-17,0.0458450417129819,0.147906975199891,TRUE
"CD163L1",2,1,1,0.635827418028432,2.21693679765122e-17,0.766016647861261,0.233983352138739,0.0458235564499117,0.147837658646708,FALSE
"SLC29A1",1,0,1,0.631711492192497,0.964281534686621,0.0357048235601402,1.36417532388667e-05,0.0455269250770913,0.14688065550168,TRUE
"GOLPH3L",1,0,1,0.631591995858722,0.0221067463015886,0.962117500050466,0.0157757536479457,0.0455183130750904,0.146852871141174,TRUE
"SSR1",1,0,1,0.629734908609347,0.0322896005433474,0.958634179804506,0.00907621965214629,0.0453844743320742,0.146421075620777,TRUE
"SNAP91",1,0,1,0.621991948344909,0.974350743810835,0.0256490103489074,2.45840257675113e-07,0.0448264455860552,0.144620742568077,TRUE
"COASY",1,0,1,0.620516278712421,1.04516297649836e-07,0.769470408550515,0.230529486933187,0.0447200952954128,0.144277631313015,TRUE
"MAP4K5",1,0,1,0.619514005375149,0.944269981947709,0.0557299483401183,6.97121731348964e-08,0.0446478622844629,0.144044590492023,TRUE
"WNT9B",1,0,1,0.615438446878282,0.0516168107144711,0.861298955107954,0.087084234177575,0.044354140152402,0.143096973247515,FALSE
"BRF1",1,0,1,0.614822973565921,0.634632788081496,0.365355182140273,1.20297782318215e-05,0.044309783499523,0.142953868167616,TRUE
"IL20RA",1,0,1,0.614321193960821,0.00757531716048163,0.977001983699394,0.015422699140124,0.0442736206581485,0.142837198266522,FALSE
"NCAPD2",2,0,2,0.304799261430148,5.92581370196276e-08,0.99999938020446,5.60537402513132e-07,0.0219666308278188,0.141739119419552,FALSE
"SETDB2",1,1,0,0.485747633237177,0.0437301091973815,0.956221541652222,4.83491503967077e-05,0.0350074304141748,0.141083701418339,TRUE
"ECE2",2,0,2,0.303243566530011,1.65047866122531e-17,0.0431941048063052,0.956805895193695,0.0218545131822849,0.141015683200592,TRUE
"FSTL4",1,0,1,0.605675801696431,0.981626121203096,0.0183738743779593,4.41894462086476e-09,0.0436505543838326,0.14082703872604,TRUE
"DCAF4L2",2,0,2,0.302747630809069,0.0016494438654563,0.888981522482849,0.109369033651695,0.0218187715048112,0.140785060947621,FALSE
"ARL6IP6",2,0,2,0.302257134346796,0.170955560789642,0.770300557065606,0.0587438821447514,0.0217834218302137,0.140556968083108,TRUE
"WDR55",1,0,1,0.603492674296318,1.48298652018262e-06,0.395826290799672,0.604172226213808,0.0434932181966537,0.140319434879133,FALSE
"AK1",1,0,1,0.600719056657587,0.654809128002237,0.339455084388276,0.00573578760948633,0.0432933258660697,0.139674534822821,TRUE
"STAU2",1,0,1,0.595511399762198,0.950439190486362,0.0495545472091782,6.26230445988224e-06,0.0429180143382064,0.138463690841231,TRUE
"ACTR5",1,0,1,0.595403724262442,1.00014232070039e-12,0.0211314622400033,0.978868537758997,0.0429102542539423,0.138438654969348,TRUE
"XYLT1",1,0,1,0.59284350815927,0.985159711217428,0.0148402249639889,6.38185828118549e-08,0.0427257415956309,0.137843373382567,TRUE
"ATP12A",1,0,1,0.591638101992044,9.71336645553994e-10,0.97662214727716,0.0233778517515029,0.0426388689695334,0.137563101691809,FALSE
"ZNF831",1,0,1,0.591284376432695,7.64881641877554e-09,0.970919493646935,0.0290804987042483,0.0426133762608565,0.137480856168866,FALSE
"DCAF4",1,0,1,0.589535087864212,0.00364518370773562,0.994470186454165,0.00188462983809969,0.0424873064796671,0.137074125161474,TRUE
"PSPN",1,0,1,0.587445111570949,0.00774141151421535,0.549013588915589,0.443244999570196,0.0423366836157612,0.136588180087288,FALSE
"GNPTAB",1,0,1,0.586293081451721,4.22557947344879e-06,0.999977940591976,1.78338285510433e-05,0.0422536577573229,0.136320318981133,TRUE
